City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Los Llanos de Aridane,40,ES,1563652719,83,28.66,-17.92,73.4,19.46
Honningsvag,0,NO,1563652838,77,70.98,25.97,52.18,3.02
Teya,75,MX,1563652838,49,21.05,-89.07,96.01,6.93
Acapulco,75,MX,1563652247,66,16.86,-99.88,87.8,10.29
Sola,100,TZ,1563652838,47,-3.17,33.8,74.32,3.96
Kabare,100,RW,1563652838,95,-1.65,29.38,56.68,1.52
Brzeg Dolny,0,PL,1563652838,60,51.27,16.72,73.4,8.05
Wagar,94,US,1563652838,78,31.44,-87.99,82.99,1.01
Xining,100,CN,1563652839,86,36.62,101.77,50.92,3.4
San Cristobal,48,HN,1563652249,44,14.68,-86.92,84.58,13.89
Macae,90,BR,1563652708,77,-22.37,-41.79,71.6,13.87
Vila Franca do Campo,40,PT,1563652839,88,37.72,-25.43,73.4,5.82
Marshall,1,US,1563652839,63,39.12,-93.2,97.0,17.22
Warri,100,NG,1563652768,88,5.52,5.75,77.2,4.74
Muncar,96,ID,1563652839,96,-8.43,114.34,70.18,1.23
Sochi,90,RU,1563652839,83,43.6,39.73,75.2,4.47
Rasova,0,ME,1563652840,82,43.15,19.27,58.48,2.73
Imphal,100,IN,1563652840,99,24.8,93.94,70.54,0.89
Atambua,8,ID,1563652840,74,-9.11,124.89,74.14,9.82
Ngunguru,36,NZ,1563652840,95,-35.62,174.5,42.01,1.99
Senno,0,RU,1563652840,82,57.76,27.95,60.8,3.33
Mount Isa,33,AU,1563652840,59,-20.73,139.49,35.6,7.2
Hopeman,20,GB,1563652841,67,57.71,-3.43,62.6,12.75
Artsyz,33,UA,1563652841,64,46.0,29.43,68.92,8.39
Amahai,65,ID,1563652841,92,-3.31,129.0,78.01,11.16
Capljina,0,BA,1563652841,44,43.12,17.68,80.6,5.82
Neu Wulmstorf,72,DE,1563652841,93,53.47,9.79,66.0,4.7
Guerrero Negro,50,MX,1563652841,87,27.97,-114.04,65.32,17.56
Oni,36,GE,1563652841,96,42.59,43.44,62.26,1.59
Meulaboh,100,ID,1563652842,79,4.14,96.13,79.72,3.06
Bolshoye Murashkino,39,RU,1563652842,95,55.78,44.78,56.32,7.52
Santa Cruz de Tenerife,40,ES,1563652842,88,28.47,-16.25,75.99,16.11
Arys,0,KZ,1563652842,28,42.43,68.8,82.4,4.47
Xinqing,100,CN,1563652842,95,48.28,129.53,67.66,4.65
Qasigiannguit,75,GL,1563652842,71,68.82,-51.19,51.8,4.7
Kindu,1,CD,1563652843,74,-2.95,25.92,73.6,3.83
Dzilam Gonzalez,0,MX,1563652843,82,21.28,-88.93,82.24,18.59
Grand-Lahou,100,CI,1563652843,97,5.24,-5.0,73.06,4.0
Lares,40,PR,1563652843,83,18.3,-66.88,82.0,10.29
Cayambe,83,EC,1563652843,27,0.04,-78.14,75.2,8.05
Vardo,1,US,1563652843,50,39.62,-77.74,98.01,9.17
Sohag,0,EG,1563652844,26,26.55,31.7,93.2,13.87
Sikeston,40,US,1563652708,63,36.88,-89.59,91.99,9.17
Wiarton,90,CA,1563652844,65,44.74,-81.13,84.0,17.22
La Paz,40,MX,1563652844,29,24.15,-110.32,89.6,5.82
Noumea,75,NC,1563652639,87,-22.28,166.46,55.4,14.76
Wadi Maliz,20,TN,1563652844,41,36.47,8.55,91.4,10.29
Mahon,75,IE,1563652845,77,51.89,-8.4,62.01,9.17
Rio Branco,40,BR,1563652845,58,-9.98,-67.82,87.8,2.24
Moose Factory,90,CA,1563652845,77,51.26,-80.61,62.6,9.17
Dukat,0,AL,1563652845,49,40.25,19.57,79.0,5.35
Alice Springs,82,AU,1563652743,21,-23.7,133.88,59.0,9.17
Whyalla,0,AU,1563652845,76,-33.04,137.58,51.8,6.93
Chuka,89,KE,1563652845,72,-0.33,37.65,64.06,3.78
Manggar,15,ID,1563652846,92,-2.88,108.27,75.58,4.32
Makakilo City,75,US,1563652836,73,21.35,-158.09,84.99,4.7
Shinpokh,40,PK,1563652846,62,34.33,71.18,91.4,6.93
Moramanga,0,MG,1563652846,73,-18.95,48.23,52.0,3.42
Roura,75,GF,1563652846,78,4.73,-52.33,82.4,5.82
Cabot,40,US,1563652820,55,34.97,-92.02,95.0,10.29
Sur,4,OM,1563652846,81,22.57,59.53,76.66,14.03
Charleston,1,US,1563652591,62,32.79,-79.94,95.0,8.05
Camargo,4,MX,1563652847,22,27.69,-105.17,92.32,6.13
Tupik,100,RU,1563652847,98,54.43,119.94,50.2,11.03
Genhe,77,CN,1563652847,99,50.78,121.52,60.1,3.22
Susangerd,0,IR,1563652847,21,31.56,48.19,102.2,11.41
Mayumba,30,GA,1563652848,89,-3.44,10.65,71.62,8.16
Carlton,1,US,1563652848,57,46.66,-92.42,75.99,3.36
Nanakuli,75,US,1563652848,73,21.39,-158.15,84.99,4.7
Nyurba,0,RU,1563652848,72,63.29,118.35,52.18,2.33
Buraydah,0,SA,1563652848,23,26.33,43.97,93.2,8.05
Ewa Beach,40,US,1563652838,58,21.32,-158.01,84.99,17.22
Cuamba,35,MZ,1563652848,45,-14.8,36.54,62.44,4.41
Denizli,20,TR,1563652849,56,37.77,29.09,70.0,4.7
Tigil,100,RU,1563652849,95,57.8,158.67,55.06,15.01
Hervey Bay,5,AU,1563652868,87,-25.3,152.85,52.0,6.93
Labuhan,0,ID,1563652868,95,-2.54,115.51,70.36,1.77
Broome,40,GB,1563652841,88,52.47,1.45,68.0,6.93
Pochutla,5,MX,1563652868,55,15.74,-96.47,91.0,11.41
Male,4,UA,1563652869,81,50.74,33.7,62.44,3.27
Lakes Entrance,0,AU,1563652869,69,-37.88,147.99,54.0,12.93
Alexandria,7,RO,1563652869,53,43.97,25.33,72.52,4.21
Miyako,75,JP,1563652869,94,33.63,130.94,77.0,12.75
Maputo,75,MZ,1563652869,45,-25.97,32.57,66.2,16.11
Bolshaya Glushitsa,0,RU,1563652869,76,50.24,43.59,59.0,5.39
Yuzhou,67,CN,1563652870,78,34.16,113.47,80.6,6.71
Cayon,20,KN,1563652870,62,17.35,-62.73,89.01,9.17
Omboue,67,GA,1563652870,87,-1.57,9.26,74.68,9.84
Tabou,87,CI,1563652870,91,4.42,-7.36,73.96,4.7
Sao Jose da Coroa Grande,68,BR,1563652871,94,-8.9,-35.15,70.36,6.49
Ayorou,89,NE,1563652871,56,14.73,0.92,81.16,11.99
Tautira,20,PF,1563652871,61,-17.73,-149.15,78.8,4.7
Hasaki,75,JP,1563652871,100,35.73,140.83,73.4,6.93
Martil,20,MA,1563652871,78,35.62,-5.28,77.0,8.05
Pangnirtung,75,CA,1563652871,63,66.15,-65.72,64.4,14.99
Henties Bay,0,NA,1563652839,86,-22.12,14.28,57.99,8.25
Aasiaat,100,GL,1563652872,87,68.71,-52.87,43.72,5.14
Solton,44,RU,1563652872,98,52.84,86.48,57.58,4.65
Kaeo,86,NZ,1563652872,95,-35.1,173.78,42.01,1.99
Cukai,0,MY,1563652872,100,4.25,103.42,80.6,1.79
Livingston,90,US,1563652789,78,32.58,-88.19,79.0,3.36
Dom Pedrito,0,BR,1563652873,88,-30.98,-54.67,65.68,8.97
Dasoguz,0,TM,1563652873,83,41.84,59.97,91.4,2.24
Ixtapa,75,MX,1563652873,58,20.71,-105.21,86.0,6.93
Comodoro Rivadavia,0,AR,1563652873,46,-45.87,-67.48,50.0,11.41
Baicheng,100,CN,1563652873,46,45.61,122.87,78.01,3.0
Isangel,40,VU,1563652873,77,-19.55,169.27,68.0,4.7
San Patricio,50,PY,1563652858,81,-26.98,-56.83,71.26,7.65
Vila Velha,75,BR,1563652874,65,-3.71,-38.6,86.0,17.22
Harboore,88,DK,1563652874,100,56.62,8.18,63.0,3.36
Veinticinco de Mayo,5,AR,1563652874,80,-27.38,-54.75,68.56,3.49
Saint-Joseph,0,FR,1563652874,83,43.56,6.97,78.8,2.24
Chernyshevskiy,0,RU,1563652875,73,63.01,112.47,49.3,4.5
Misratah,0,LY,1563652875,71,32.38,15.09,77.92,13.82
Dubai,0,AE,1563652605,47,25.27,55.3,98.6,9.17
Tevaitoa,9,PF,1563652875,77,-16.78,-151.5,76.12,16.02
Kavaratti,99,IN,1563652852,80,10.57,72.64,81.34,26.73
Omsukchan,100,RU,1563652875,91,62.53,155.8,39.22,3.24
Puquio,68,PE,1563652876,49,-14.69,-74.12,50.56,9.51
Praya,75,ID,1563652876,100,-8.71,116.27,69.8,3.36
Broken Hill,48,AU,1563652876,30,-31.97,141.45,57.2,16.11
Uyuni,99,BO,1563652876,30,-20.46,-66.82,50.2,14.83
Yakeshi,68,CN,1563652877,98,49.28,120.73,60.64,11.21
Eydhafushi,100,MV,1563652877,78,5.1,73.07,82.78,18.86
Mogadishu,41,SO,1563652877,82,2.04,45.34,75.04,12.06
Srivardhan,13,IN,1563652877,87,18.03,73.02,78.82,1.5
Skjervoy,0,NO,1563652877,75,70.03,20.97,55.6,3.02
Lichtenfels,70,DE,1563652877,63,50.15,11.06,75.99,3.0
Mahajanga,0,MG,1563652878,78,-15.72,46.32,75.2,4.7
Buribay,20,RU,1563652878,81,51.96,58.16,67.48,16.67
Thomaston,75,US,1563652878,46,32.89,-84.33,91.99,6.93
Dudinka,0,RU,1563652632,62,69.41,86.18,57.2,11.18
Bonthe,100,SL,1563652878,90,7.53,-12.5,76.48,5.17
Rovaniemi,0,FI,1563652878,55,66.5,25.72,64.4,8.05
Ust-Ilimsk,50,RU,1563652879,66,57.96,102.73,50.92,5.03
Saint Pete Beach,40,US,1563652879,62,27.73,-82.74,95.0,8.05
Paamiut,0,GL,1563652879,93,61.99,-49.67,42.64,15.68
Sikandarpur,0,IN,1563652879,70,26.04,84.05,87.82,7.63
Fort Walton Beach,75,US,1563652879,66,30.41,-86.62,87.8,10.29
Antalaha,99,MG,1563652880,93,-14.9,50.28,65.68,1.7
Hukuntsi,0,BW,1563652880,42,-23.98,21.76,49.3,7.72
Bure,0,NG,1563652880,80,10.52,10.33,72.52,5.03
Maxixe,40,MZ,1563652880,73,-23.86,35.35,69.8,9.17
Toyooka,100,JP,1563652880,91,35.55,134.82,72.7,6.51
Brandon,40,US,1563652844,73,43.59,-96.57,73.0,4.7
Kristiansund,100,NO,1563652880,49,63.12,7.73,69.8,13.87
Mandalgovi,100,MN,1563652881,43,45.76,106.27,68.38,14.56
Lamu,100,CN,1563652881,63,35.77,102.37,57.04,1.43
Ferme-Neuve,92,CA,1563652582,73,46.7,-75.45,80.44,6.58
Sungaipenuh,89,ID,1563652881,92,-2.08,101.38,70.18,3.8
Menongue,0,AO,1563652881,29,-14.66,17.68,52.18,3.47
Gornyy,0,RU,1563652881,72,51.76,48.54,64.24,6.22
Mabaruma,100,GY,1563652882,95,8.2,-59.78,78.1,3.65
Karatau,27,KZ,1563652882,20,43.18,70.46,76.84,3.11
Chiang Klang,100,TH,1563652882,95,19.29,100.86,71.98,1.9
Namatanai,81,PG,1563652882,85,-3.66,152.44,78.64,11.83
Birin,2,NP,1563652882,92,26.89,88.07,61.18,2.1
Lavrentiya,100,RU,1563652862,94,65.58,-170.99,42.82,4.54
Ballina,75,IE,1563652882,87,54.11,-9.15,60.01,6.93
Ardmore,40,US,1563652883,62,34.99,-86.85,93.0,6.93
Carutapera,80,BR,1563652883,92,-1.2,-46.02,76.48,7.11
Along,100,IN,1563652883,95,28.17,94.8,61.0,1.39
Tazovskiy,91,RU,1563652883,55,67.47,78.7,58.84,10.96
Ayan,0,IR,1563652883,49,38.23,44.7,63.16,4.36
Bilibino,100,RU,1563652838,74,68.06,166.44,39.76,2.71
